0.001,8681604.556
0.00105,7734763.658
0.0011,6928315.456
0.00115,6236404.578
0.0012,5638789.842
0.00126,5023807.116
0.00132,4500010.864
0.00138,4050607.76
0.00145,3602948.675
0.00151,3273252.162
0.00159,2896764.213
0.00166,2615930.289
0.00174,2340151.554
0.00182,2103957.834
0.00191,1876817.84
0.002,1703117.665
0.00209,1516511.666
0.00219,1357696.894
0.00229,1221533.542
0.0024,1093145.602
0.00251,983132.988
0.00263,880251.4293
0.00275,792033.3103
0.00288,710009.1094
0.00302,634558.3551
0.00316,570020.7223
0.00331,510762.6382
0.00347,456766.4175
0.00363,410541.4475
0.0038,368392.0125
0.00398,330169.3515
0.00417,295665.0371
0.00437,264633.2965
0.00457,238036.9331
0.00479,212967.7651
0.00501,191493.5219
0.00525,171417.4163
0.0055,154207.7562
0.00575,138210.8629
0.00603,123499.999
0.00631,110920.1657
0.00661,99372.25967
0.00692,89156.47411
0.00724,80109.6414
0.00759,71640.02696
0.00794,64389.47036
0.00832,57644.79499
0.00871,51721.49016
0.00912,46386.13816
0.00955,41593.93605
0.01,37299.24148
0.01047,33457.09266
0.01097,29959.52567
0.01148,26904.41449
0.01202,24130.93309
0.01259,21624.65062
0.01318,19403.14885
0.0138,17402.84253
0.01445,15606.61773
0.01514,13975.26546
0.01585,12538.64853
0.0166,11238.96106
0.01738,10081.52414
0.0182,9039.34645
0.01906,8113.65565
0.01995,7273.86355
0.02089,6522.85473
0.02188,5845.77376
0.02291,5242.71943
0.02399,4701.17487
0.02512,4215.9313
0.0263,3781.87124
0.02754,3391.16843
0.02884,3040.44554
0.0302,2726.28696
0.03162,2445.34568
0.03311,2192.84843
0.03467,1966.45156
0.03631,1762.6816
0.03802,1580.77235
0.03981,1417.68099
0.04169,1271.0028
0.04365,1140.04313
0.04571,1022.16131
0.04786,916.79583
0.05012,821.947
0.05248,737.13429
0.05495,661.10503
0.05754,592.82614
0.06026,531.43366
0.0631,476.55223
0.06607,427.39733
0.06918,383.30988
0.07244,343.72967
0.07586,308.17515
0.07943,276.39268
0.08318,247.80338
0.0871,222.2138
0.0912,199.29124
0.0955,178.70225
0.1,160.25072
0.10471,143.711
0.10965,128.85568
0.11482,115.54322
0.12023,103.6138
0.12589,92.92461
0.13183,83.31789
0.13804,74.71749
0.14454,67.00763
0.15136,60.08024
0.15849,53.87851
0.16596,48.3141
0.17378,43.32559
0.18197,38.85138
0.19055,34.83749
0.19953,31.23997
0.20893,28.01497
0.21878,25.12094
0.22909,22.5269
0.23988,20.20189
0.25119,18.11484
0.26303,16.24387
0.27542,14.56715
0.2884,13.06283
0.302,11.71309
0.31623,10.50371
0.33113,9.41923
0.34674,8.44626
0.36308,7.57409
0.38019,6.79198
0.39811,6.0905
0.41687,5.46161
0.43652,4.8975
0.45709,4.39179
0.47863,3.93829
0.50119,3.53154
0.52481,3.16685
0.54954,2.83985
0.57544,2.54657
0.60256,2.28359
0.63096,2.04774
0.66069,1.83632
0.69183,1.64667
0.72444,1.47659
0.75858,1.32411
0.79433,1.18737
0.83176,1.06477
0.87096,0.95481
0.91201,0.8562
0.95499,0.76779
1,0.68849
1.04713,0.61739
1.09648,0.55363
1.14815,0.49647
1.20226,0.4452
1.25893,0.39921
1.31826,0.35799
1.38038,0.32102
1.44544,0.28787
1.51356,0.25814
1.58489,0.23148
1.65959,0.20758
1.7378,0.207
1.8197,0.2063
1.90546,0.2053
1.99526,0.2045
2.0893,0.2043
2.18776,0.2041
2.29087,0.2
2.39883,0.19297
2.51189,0.18124
2.63027,0.16983
2.75423,0.15901
2.88403,0.14894
3.01995,0.13969
3.16228,0.13131
3.31131,0.12377
3.46737,0.11703
3.63078,0.11105
3.80189,0.10577
3.98107,0.10111
4.16869,0.09701
4.36516,0.09341
4.57088,0.09024
4.7863,0.08746
5.01187,0.085
5.24808,0.08283
5.49541,0.08088
5.7544,0.07913
6.0256,0.07754
6.30957,0.07607
6.60693,0.07469
6.91831,0.07338
7.24436,0.07211
7.58578,0.07087
7.94328,0.06964
8.31764,0.06841
8.70964,0.06717
9.12011,0.06591
9.54993,0.06463
10,0.06333
10.47129,0.06201
10.96478,0.06068
11.48154,0.05934
12.02264,0.05799
12.58925,0.05664
13.18257,0.05531
13.80384,0.05398
14.4544,0.05267
15.13561,0.05138
15.84893,0.05011
16.59587,0.04886
17.37801,0.04763
18.19701,0.04641
19.05461,0.04519
19.95262,0.04395
20.89296,0.04269
21.87762,0.04138
22.90868,0.04
23.98833,0.03853
25.11886,0.03694
26.30268,0.0352
27.54229,0.0333
28.84032,0.03121
30.19952,0.02893
31.62278,0.02645
33.11311,0.0238
34.67369,0.02101
36.30781,0.01813
38.01894,0.01524
39.81072,0.01243
41.68694,0.00978
43.65158,0.00739
45.70882,0.00534
47.86301,0.00366
50.11872,0.00236
52.48075,0.00143
54.95409,8.01E-04
57.54399,4.13E-04
60.25596,1.94E-04
63.09573,8.23E-05
66.06935,3.11E-05
69.1831,1.04E-05
